"code","reviewId","sourcePath","rawCardPath","decision","runtimePath","proposedRuntimePath","proposedPackageId","blockReason"
"A0","Gree-GMV-A0","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A0.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A0/A0 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a0.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a0.json","gree-gmv6-status-codes","already-runtime"
"A2","Gree-GMV-A2","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A2.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A2/A2 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a2.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a2.json","gree-gmv6-status-codes","already-runtime"
"A3","Gree-GMV-A3","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A3.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A3/A3 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a3.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a3.json","gree-gmv6-status-codes","already-runtime"
"A4","Gree-GMV-A4","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A4.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A4/A4  GMV.jpg","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a4.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a4.json","gree-gmv6-status-codes","already-runtime"
"A6","Gree-GMV-A6","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A6.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A6/A6 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a6.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a6.json","gree-gmv6-status-codes","already-runtime"
"A7","Gree-GMV-A7","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A7.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A7/A7 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a7.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a7.json","gree-gmv6-status-codes","already-runtime"
"A8","Gree-GMV-A8","data/reference/gree-official-support-error-catalog/review/Gree-GMV-A8.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-A8/A8 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a8.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/a8.json","gree-gmv6-status-codes","already-runtime"
"Ab","Gree-GMV-Ab","data/reference/gree-official-support-error-catalog/review/Gree-GMV-Ab.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ab/Ab GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ab.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ab.json","gree-gmv6-status-codes","already-runtime"
"AC","Gree-GMV-AC","data/reference/gree-official-support-error-catalog/review/Gree-GMV-AC.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-AC/AC GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ac.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ac.json","gree-gmv6-status-codes","already-runtime"
"Ad","Gree-GMV-Ad","data/reference/gree-official-support-error-catalog/review/Gree-GMV-Ad.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ad/Ad GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ad.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ad.json","gree-gmv6-status-codes","already-runtime"
"AE","Gree-GMV-AE","data/reference/gree-official-support-error-catalog/review/Gree-GMV-AE.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-AE/AE GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ae.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/ae.json","gree-gmv6-status-codes","already-runtime"
"AF","Gree-GMV-AF","data/reference/gree-official-support-error-catalog/review/Gree-GMV-AF.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-AF/AF GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/af.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/status/af.json","gree-gmv6-status-codes","already-runtime"
